address;addres limpiado 1;category;id;Columna4;lat;lng;location;name;originalId;polarity;subCategory;details;reviews;Columna1;Columna2;Columna3
494930;Pl Karl Marx-Pg de Valldaura;Pl Karl Marx-Pg de Valldaura;Spain;494930;poi;Barcelona;41.439.774;2.163.244;http://tour-pedia.org/api/getPlaceDetails?id=494930;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494930;;;;;;
494931;Pg de Fabra i Puig-Pl Sant Francesc Xavier;Pg de Fabra i Puig-Pl Sant Francesc Xavier;Spain;494931;poi;Barcelona;41.434.138;2.163.587;http://tour-pedia.org/api/getPlaceDetails?id=494931;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494931;;;;;;
494932;Letman & Mon Odonthologi S.L.;Letman & Mon Odonthologi S.L.;Carrer de Campoamor, 43, Barcelona, Spain;494932;poi;Barcelona;41.433.978;2.156.046;http://tour-pedia.org/api/getPlaceDetails?id=494932;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494932;;;;;;
494933;Parc del Turó de la Peira;Parc del Turó de la Peira;Spain;494933;poi;Barcelona;41.432.732;2.163.235;http://tour-pedia.org/api/getPlaceDetails?id=494933;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494933;;;;;;
494934;Ctra d'Horta;Ctra d'Horta;Spain;494934;poi;Barcelona;41.439.012;2.154.251;http://tour-pedia.org/api/getPlaceDetails?id=494934;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494934;;;;;;
494935;Pg de Fabra i Puig-Canigó;Pg de Fabra i Puig-Canigó;Spain;494935;poi;Barcelona;41.433.617;2.163.226;http://tour-pedia.org/api/getPlaceDetails?id=494935;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494935;;;;;;
494936;Pg de Valldaura-Pl Karl Marx;Pg de Valldaura-Pl Karl Marx;Spain;494936;poi;Barcelona;41.439.634;2.164.012;http://tour-pedia.org/api/getPlaceDetails?id=494936;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494936;;;;;;
494937;Campoamor-Rectoria;Campoamor-Rectoria;Spain;494937;poi;Barcelona;41.432.946;2.158.126;http://tour-pedia.org/api/getPlaceDetails?id=494937;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494937;;;;;;
494938;Pl Karl Marx;Pl Karl Marx;Spain;494938;poi;Barcelona;41.439.436;2.162.519;http://tour-pedia.org/api/getPlaceDetails?id=494938;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494938;;;;;;
494939;Campoamor-Av Estatut de Catalunya;Campoamor-Av Estatut de Catalunya;Spain;494939;poi;Barcelona;41.435.222;2.154.374;http://tour-pedia.org/api/getPlaceDetails?id=494939;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494939;;;;;;
494940;Escola de l'IGOP;Escola de l'IGOP;Passeig d'Urrútia, 17, Barcelona, Spain;494940;poi;Barcelona;41.436.259;2.164.682;http://tour-pedia.org/api/getPlaceDetails?id=494940;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494940;;;;;;
494941;Eduard Toda-Rectoria;Eduard Toda-Rectoria;Spain;494941;poi;Barcelona;41.433.831;215.994;http://tour-pedia.org/api/getPlaceDetails?id=494941;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494941;;;;;;
494942;Pg de Fabra i Puig-Torrent Can Mariner;Pg de Fabra i Puig-Torrent Can Mariner;Spain;494942;poi;Barcelona;41.432.155;2.163.117;http://tour-pedia.org/api/getPlaceDetails?id=494942;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494942;;;;;;
494943;Pg Universal-Doctor Letamendi;Pg Universal-Doctor Letamendi;Spain;494943;poi;Barcelona;41.437.676;2.161.485;http://tour-pedia.org/api/getPlaceDetails?id=494943;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494943;;;;;;
494944;Farmacia Boncompte Alseda Boncompte Giné;Farmacia Boncompte Alseda Boncompte Giné;Carrer de la Guineueta, 19, Barcelona, Spain;494944;poi;Barcelona;41.440.357;2.166.556;http://tour-pedia.org/api/getPlaceDetails?id=494944;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494944;;;;;;
494945;Farmacia Castresana Corral;Farmacia Castresana Corral;Carrer de la Mina de la Ciutat, 91, Barcelona, Spain;494945;poi;Barcelona;41.448.722;2.176.395;http://tour-pedia.org/api/getPlaceDetails?id=494945;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494945;;;;;;
